ID	region	Discovery.scan
ID01	01-lh-bankssts.nii.gz	75.900002 
ID01	02-lh-caudalanteriorcingulate.nii.gz	81.700005 
ID01	03-lh-caudalmiddlefrontal.nii.gz	78.400002 
ID01	04-lh-cuneus.nii.gz	70.400002 
ID01	05-lh-entorhinal.nii.gz	78.500000 
ID01	06-lh-fusiform.nii.gz	75.300003 
ID01	07-lh-inferiorparietal.nii.gz	74.000000 
ID01	08-lh-inferiortemporal.nii.gz	77.599998 
ID01	09-lh-isthmuscingulate.nii.gz	76.200005 
ID01	10-lh-lateraloccipital.nii.gz	71.000000 
ID01	11-lh-lateralorbitofrontal.nii.gz	78.900002 
ID01	12-lh-lingual.nii.gz	73.000000 
ID01	13-lh-medialorbitofrontal.nii.gz	80.000000 
ID01	14-lh-middletemporal.nii.gz	77.000000 
ID01	15-lh-parahippocampal.nii.gz	78.900002 
ID01	16-lh-paracentral.nii.gz	73.500000 
ID01	17-lh-parsopercularis.nii.gz	78.200005 
ID01	18-lh-parsorbitalis.nii.gz	81.599998 
ID01	19-lh-parstriangularis.nii.gz	79.099998 
ID01	20-lh-pericalcarine.nii.gz	71.099998 
ID01	21-lh-postcentral.nii.gz	74.200005 
ID01	22-lh-posteriorcingulate.nii.gz	78.000000 
ID01	23-lh-precentral.nii.gz	75.200005 
ID01	24-lh-precuneus.nii.gz	74.200005 
ID01	25-lh-rostralanteriorcingulate.nii.gz	82.300003 
ID01	26-lh-rostralmiddlefrontal.nii.gz	80.700005 
ID01	27-lh-superiorfrontal.nii.gz	79.700005 
ID01	28-lh-superiorparietal.nii.gz	71.300003 
ID01	29-lh-superiortemporal.nii.gz	77.500000 
ID01	30-lh-supramarginal.nii.gz	76.099998 
ID01	31-lh-frontalpole.nii.gz	80.900002 
ID01	32-lh-temporalpole.nii.gz	80.700005 
ID01	33-lh-transversetemporal.nii.gz	72.200005 
ID01	34-lh-insula.nii.gz	81.300003 
ID01	35-Left-Cerebellum-Cortex.nii.gz	78.800003 
ID01	36-Left-Thalamus-Proper.nii.gz	68.700005 
ID01	37-Left-Caudate.nii.gz	69.700005 
ID01	38-Left-Putamen.nii.gz	66.700005 
ID01	39-Left-Pallidum.nii.gz	54.700001 
ID01	40-Left-Hippocampus.nii.gz	81.400002 
ID01	41-Left-Amygdala.nii.gz	81.000000 
ID01	42-Left-Accumbens-area.nii.gz	73.800003 
ID01	43-Right-Thalamus-Proper.nii.gz	71.700005 
ID01	44-Right-Caudate.nii.gz	72.099998 
ID01	45-Right-Putamen.nii.gz	68.200005 
ID01	46-Right-Pallidum.nii.gz	56.299999 
ID01	47-Right-Hippocampus.nii.gz	86.400002 
ID01	48-Right-Amygdala.nii.gz	83.400002 
ID01	49-Right-Accumbens-area.nii.gz	77.700005 
ID01	50-rh-bankssts.nii.gz	75.700005 
ID01	51-rh-caudalanteriorcingulate.nii.gz	81.800003 
ID01	52-rh-caudalmiddlefrontal.nii.gz	77.300003 
ID01	53-rh-cuneus.nii.gz	70.500000 
ID01	54-rh-entorhinal.nii.gz	81.700005 
ID01	55-rh-fusiform.nii.gz	79.099998 
ID01	56-rh-inferiorparietal.nii.gz	73.200005 
